H,I,N
Other-relative,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Husband,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,Mexico
Unmarried,White,United-States
Husband,White,Mexico
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Other,United-States
Husband,White,Cuba
Own-child,White,United-States
Other-relative,White,Mexico
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,noValueSetHere123156456
Wife,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,Mexico
Own-child,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Unmarried,White,Outlying-US(Guam-USVI-etc)
Not-in-family,Black,Philippines
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,Asian-Pac-Islander,Philippines
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,El-Salvador
Own-child,Black,United-States
Not-in-family,White,Columbia
Own-child,White,United-States
Husband,White,United-States
Husband,White,Dominican-Republic
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,Nicaragua
Husband,Asian-Pac-Islander,Philippines
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,Black,Trinadad&Tobago
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Black,Trinadad&Tobago
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,Canada
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,Greece
Husband,White,El-Salvador
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,Black,Jamaica
Unmarried,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,Black,Outlying-US(Guam-USVI-etc)
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
