B,D,E,F,G,H,I,J,N,O
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Local-gov,9th,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,Trinadad&Tobago,>50K
Federal-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,>50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Unmarried,White,Male,Mexico,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,United-States,>50K
Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,10th,6,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Assoc-voc,11,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,>50K
noValueSetHere123156456,12th,8,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Priv-house-serv,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,7th-8th,4,Never-married,noValueSetHere123156456,Not-in-family,White,Female,Mexico,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,United-States,<=50K
Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Local-gov,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
noValueSetHere123156456,9th,5,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Other,Male,noValueSetHere123156456,>50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Other-relative,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Female,noValueSetHere123156456,<=50K
Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Own-child,White,Female,United-States,<=50K
Local-gov,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Self-emp-inc,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Local-gov,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Widowed,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Local-gov,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,9th,5,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,11th,7,Married-spouse-absent,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,Mexico,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,<=50K
Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,Scotland,<=50K
Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Private,11th,7,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Widowed,Sales,Unmarried,White,Female,United-States,<=50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
State-gov,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,United-States,>50K
Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Federal-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Without-pay,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,Philippines,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Separated,Sales,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
noValueSetHere123156456,Bachelors,13,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,Black,Female,United-States,<=50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Local-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,Ecuador,<=50K
Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,United-States,>50K
Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,United-States,>50K
Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,Trinadad&Tobago,<=50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Other-relative,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Divorced,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,India,<=50K
Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Local-gov,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,Dominican-Republic,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Other-relative,Black,Male,noValueSetHere123156456,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Federal-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
